fiscal_year,revenue,cost_of_revenue,operating_income,net_income,rnd,sbc,cfo,capex,receivables,inventory,cash,diluted_shares,revenue_growth,gross_margin,operating_margin,net_margin,fcf,fcf_margin,capex_to_cfo,receivables_growth,rnd_pct_revenue,sbc_pct_revenue,share_change
2020,31536000000.0,24906000000.0,1994000000.0,721000000.0,1491000000.0,1734000000.0,5943000000.0,3157000000.0,1886000000.0,4101000000.0,19384000000,3249000000.0,,0.2102359208523592,0.06322932521562659,0.022862760020294266,2786000000.0,0.08834348046676814,0.5312131919905771,,0.047279299847793,0.05498477929984779,
2021,53823000000.0,40217000000.0,6523000000.0,5519000000.0,2593000000.0,2121000000.0,11497000000.0,6482000000.0,1913000000.0,5757000000.0,17576000000,3386000000.0,0.7067161339421613,0.25279155751258753,0.12119354179440016,0.10253980640246735,5015000000.0,0.09317577987105884,0.5637992519787771,0.014316012725344551,0.04817643015067908,0.03940694498634413,0.0421668205601724
2022,81462000000.0,60609000000.0,13656000000.0,12556000000.0,3075000000.0,1560000000.0,14724000000.0,7158000000.0,2952000000.0,12839000000.0,16253000000,3475000000.0,0.5135165263920629,0.25598438535759005,0.16763644398615304,0.15413321548697553,7566000000.0,0.09287766074979745,0.4861450692746536,0.5431259801359123,0.03774766148633719,0.019150033144288134,0.02628470171293551
2023,96773000000.0,79113000000.0,8891000000.0,14997000000.0,3969000000.0,1812000000.0,13256000000.0,8899000000.0,3508000000.0,13626000000.0,16398000000,3485000000.0,0.18795266504627928,0.18248891736331416,0.0918747997891974,0.15497091130790613,4357000000.0,0.04502288861562626,0.6713186481593241,0.18834688346883466,0.04101350583323861,0.018724230932181497,0.0028776978417266452
2024,97690000000.0,80240000000.0,7076000000.0,7091000000.0,4540000000.0,1999000000.0,14923000000.0,11342000000.0,4418000000.0,12017000000.0,16139000000,3498000000.0,0.009475783534663496,0.17862626676220697,0.07243320708363189,0.07258675401781145,3581000000.0,0.03665677141979732,0.760034845540441,0.2594070695553021,0.04647353874500972,0.02046268809499437,0.0037302725968435535
2025,94827000000.0,77733000000.0,4355000000.0,3794000000.0,6411000000.0,2825000000.0,14747000000.0,8527000000.0,4576000000.0,12392000000.0,16513000000,3528000000.0,-0.02930699150373628,0.18026511436616155,0.04592573845001951,0.04000970187815706,6220000000.0,0.06559313275754795,0.5782192988404421,0.03576278859212323,0.06760732702711253,0.029791093254031027,0.00857632933104635
