fiscal_year,revenue,cost_of_revenue,operating_income,net_income,rnd,sbc,cfo,capex,receivables,inventory,cash,diluted_shares,revenue_growth,gross_margin,operating_margin,net_margin,fcf,fcf_margin,capex_to_cfo,receivables_growth,rnd_pct_revenue,sbc_pct_revenue,share_change
2021,16675000000.0,6279000000.0,4532000000.0,4332000000.0,3924000000.0,1397000000.0,5822000000.0,,2429000000.0,1826000000.0,847000000,2510000000.0,,0.623448275862069,0.271784107946027,0.25979010494752625,,,,,0.2353223388305847,0.08377811094452774,
2022,26914000000.0,9439000000.0,10041000000.0,9752000000.0,5268000000.0,2004000000.0,9108000000.0,976000000.0,4650000000.0,2605000000.0,1990000000,2535000000.0,0.6140329835082459,0.6492903321691313,0.3730772088875678,0.3623393029649996,8132000000.0,0.3021475811845136,0.10715854194115064,0.914368052696583,0.19573456193802483,0.07445938916549008,0.009960159362549792
2023,26974000000.0,11618000000.0,4224000000.0,4368000000.0,7339000000.0,2709000000.0,5641000000.0,1833000000.0,3827000000.0,5159000000.0,3389000000,25070000000.0,0.002229323028906993,0.5692889449099132,0.1565952398606065,0.16193371394676356,3808000000.0,0.14117298138948617,0.324942386101755,-0.17698924731182797,0.2720768147104619,0.10043004374582931,8.889546351084812
2024,60922000000.0,16621000000.0,32972000000.0,29760000000.0,8675000000.0,3549000000.0,28090000000.0,1069000000.0,9999000000.0,5282000000.0,7280000000,24940000000.0,1.2585452658115224,0.7271757329043695,0.5412166376678376,0.4884934834706674,27021000000.0,0.4435343554052723,0.0380562477750089,1.6127515024823622,0.14239519385443683,0.05825481763566528,-0.005185480654168351
2025,130497000000.0,32639000000.0,81453000000.0,72880000000.0,12914000000.0,4737000000.0,64089000000.0,3236000000.0,23065000000.0,10080000000.0,8589000000,24804000000.0,1.1420340763599355,0.7498869705816992,0.6241752683969747,0.5584802715771244,60853000000.0,0.46631723334636044,0.05049228416732981,1.3067306730673067,0.0989601293516326,0.03629968505023104,-0.0054530874097834525
2026,215938000000.0,62475000000.0,130387000000.0,120067000000.0,18497000000.0,6386000000.0,102718000000.0,6042000000.0,38466000000.0,21403000000.0,10605000000,24514000000.0,0.6547353579009478,0.7106808435754708,0.6038168363141272,0.5560253406070261,96676000000.0,0.44770258129648327,0.05882123873128371,0.6677216561890309,0.08565884652076058,0.029573303448211987,-0.01169166263505883
