fiscal_year,revenue,cost_of_revenue,operating_income,net_income,rnd,sbc,cfo,capex,receivables,inventory,cash,diluted_shares,revenue_growth,gross_margin,operating_margin,net_margin,fcf,fcf_margin,capex_to_cfo,receivables_growth,rnd_pct_revenue,sbc_pct_revenue,share_change
2020,386064000000.0,233307000000.0,22899000000.0,21331000000.0,,9208000000.0,66064000000.0,40140000000.0,24542000000.0,23795000000.0,42122000000,10198000000.0,,0.3956779186870571,0.05931399975133657,0.05525249699531684,25924000000.0,0.06714948816776493,0.60759263744248,,,0.023850967715197482,
2021,469822000000.0,272344000000.0,24879000000.0,33364000000.0,,12757000000.0,46327000000.0,61053000000.0,32891000000.0,32640000000.0,36220000000,10296000000.0,0.21695366571345676,0.420325144416396,0.052954097509269465,0.07101412875514557,-14726000000.0,-0.03134378551877094,1.3178707880933365,0.34019232336402894,,0.027152836606204052,0.009609727397528856
2022,513983000000.0,288831000000.0,12248000000.0,-2722000000.0,,19621000000.0,46752000000.0,63645000000.0,42360000000.0,34405000000.0,53888000000,10189000000.0,0.09399517263985091,0.43805339865326287,0.023829581912242232,-0.005295895000418302,-16893000000.0,-0.032866845790619534,1.3613321355236139,0.28789030433857277,,0.03817441432887858,-0.010392385392385406
2023,574785000000.0,304739000000.0,36852000000.0,30425000000.0,,24023000000.0,84946000000.0,52729000000.0,52253000000.0,33318000000.0,73387000000,10492000000.0,0.1182957412988368,0.46982088955000567,0.0641144079960333,0.05293283575597832,32217000000.0,0.0560505232391242,0.6207355260989335,0.23354579792256835,,0.04179475803996277,0.02973795269408175
2024,637959000000.0,326288000000.0,68593000000.0,59248000000.0,,22011000000.0,115877000000.0,82999000000.0,55451000000.0,34214000000.0,78779000000,10721000000.0,0.1099089224666614,0.48854393464156787,0.1075194487420038,0.09287117197186653,32878000000.0,0.05153622724971354,0.7162681118772491,0.061202227623294414,,0.03450221722712588,0.021826153259626446
2025,716924000000.0,356414000000.0,79975000000.0,77670000000.0,,19467000000.0,139514000000.0,131819000000.0,67729000000.0,38325000000.0,86810000000,10827000000.0,0.12377754683294695,0.5028566486824266,0.11155296795755199,0.10833784334183261,7695000000.0,0.010733355278941701,0.9448442450220049,0.22142071378334016,,0.027153505810936725,0.009887137393899792
