fiscal_year,revenue,cost_of_revenue,operating_income,net_income,rnd,sbc,cfo,capex,receivables,inventory,cash,diluted_shares,revenue_growth,gross_margin,operating_margin,net_margin,fcf,fcf_margin,capex_to_cfo,receivables_growth,rnd_pct_revenue,sbc_pct_revenue,share_change
2021,168088000000.0,52232000000.0,69916000000.0,61271000000.0,20716000000.0,6118000000.0,76740000000.0,20622000000.0,38043000000.0,2636000000.0,14224000000,7608000000.0,,0.689258007710247,0.415948788729713,0.36451739564989766,56118000000.0,0.33386083480081863,0.26872556684910087,,0.12324496692208843,0.036397601256484696,
2022,198270000000.0,62650000000.0,83383000000.0,72738000000.0,24512000000.0,7502000000.0,89035000000.0,23886000000.0,44261000000.0,3742000000.0,13931000000,7540000000.0,0.17956070629670173,0.684016744842891,0.4205527815604983,0.3668633681343622,65149000000.0,0.3285872799717557,0.2682765204694783,0.1634466261861578,0.12362939426035205,0.037837292580824126,-0.008937960042061044
2023,211915000000.0,65863000000.0,88523000000.0,72361000000.0,27195000000.0,9611000000.0,87582000000.0,28107000000.0,48688000000.0,2500000000.0,34704000000,7472000000.0,0.06882029555656421,0.6892008588349102,0.417728806361041,0.3414623787839464,59475000000.0,0.2806549795908737,0.3209221072823183,0.10002033392828902,0.12832975485454073,0.04535308968218389,-0.009018567639257347
2024,245122000000.0,74114000000.0,109433000000.0,88136000000.0,29510000000.0,10734000000.0,118548000000.0,44477000000.0,56924000000.0,1246000000.0,18315000000,7469000000.0,0.1566996201307127,0.6976444382797138,0.44644299573273716,0.35955972944084985,74071000000.0,0.3021801388696241,0.3751813611364173,0.16915872494249107,0.12038903076835208,0.04379043904667879,-0.0004014989293361637
2025,281724000000.0,87831000000.0,128528000000.0,101832000000.0,32488000000.0,11974000000.0,136162000000.0,64551000000.0,69905000000.0,938000000.0,30242000000,7465000000.0,0.14932156232406713,0.6882374238616519,0.4562195624085985,0.3614601524896707,71611000000.0,0.2541884965427156,0.47407499889837107,0.22804089663410854,0.11531853871164686,0.042502591188539135,-0.0005355469272995128
2026,331839000000.0,106374000000.0,155237000000.0,133749000000.0,35562000000.0,12405000000.0,182935000000.0,115948000000.0,80876000000.0,1397000000.0,20935000000,7453000000.0,0.17788686799846665,0.6794409337058032,0.4678081840892722,0.4030538905915218,66987000000.0,0.20186596512164032,0.6338207560062317,0.1569415635505329,0.10716642709265638,0.0373825861336371,-0.0016075016744808712
